Class,Obfuscation Level,FuzzyArcFace Similarity,ArcFace Similarity,FuzzyArcFace1 Similarity,FuzzyArcFace2 Similarity,FuzzyArcFace3 Similarity
001,5.0,,0.9951816,0.9956321,0.9957996,0.9968852
001,10.0,,0.9873265,0.9891763,0.98978245,0.99330926
001,15.0,,0.9790477,0.98160166,0.9795442,0.9892654
001,20.0,,0.97303486,0.97185165,0.9744186,0.9807988
001,25.0,,0.95391095,0.9577949,0.96002835,0.97291106
001,30.0,,0.93688375,0.9535974,0.94799346,0.9679079
002,5.0,,0.99542916,0.995903,0.996423,0.99723876
002,10.0,,0.9879061,0.9907346,0.9905724,0.994076
002,15.0,,0.9784149,0.9828592,0.983294,0.98660195
002,20.0,,0.9716222,0.97605205,0.97301906,0.9824347
002,25.0,,0.9583902,0.96672386,0.9643812,0.97866356
002,30.0,,0.9447809,0.94870144,0.94369185,0.96475345
003,5.0,,0.99640805,0.99562365,0.9956788,0.9972205
003,10.0,,0.9893933,0.991588,0.99043417,0.9933324
003,15.0,,0.9761658,0.98319995,0.9834122,0.9855888
003,20.0,,0.9697201,0.9751307,0.9737065,0.97983575
003,25.0,,0.9519368,0.96446764,0.9653999,0.9742136
003,30.0,,0.93920726,0.9509998,0.9459,0.96578526
004,5.0,,0.99614465,0.99605703,0.9960209,0.9969919
004,10.0,,0.98960555,0.99106807,0.99058765,0.9933209
004,15.0,,0.97953176,0.98256195,0.9827872,0.9880841
004,20.0,,0.97023183,0.97354925,0.97410285,0.9816599
004,25.0,,0.9491724,0.9642163,0.96235,0.9749488
004,30.0,,0.94331646,0.9469644,0.94847393,0.96288836
005,5.0,,0.99538094,0.9955791,0.9951662,0.9976472
005,10.0,,0.9889246,0.9887804,0.99080443,0.9937924
005,15.0,,0.9800534,0.9807434,0.9836628,0.98968005
005,20.0,,0.96329314,0.9752636,0.9689995,0.97757244
005,25.0,,0.9480465,0.9580482,0.951529,0.9675226
005,30.0,,0.93534386,0.95157576,0.9486214,0.96800494
006,5.0,,0.99623984,0.9965304,0.9964093,0.9973677
006,10.0,,0.98918146,0.99041635,0.9899021,0.99258
006,15.0,,0.979945,0.9823903,0.9836808,0.98874533
006,20.0,,0.96750724,0.97182375,0.97434664,0.98384166
006,25.0,,0.9532097,0.9646201,0.9570975,0.97330785
