Class,Obfuscation Level,FuzzyArcFace1 Similarity,ArcFace Similarity,FuzzyArcFace2 Similarity,FuzzyArcFace3 Similarity
MK,5.0,97.6246178150177,97.03958630561829,97.63834476470947,98.22041988372803
MK,10.0,95.29674649238586,95.24609446525574,94.3701446056366,95.60076594352722
MK,15.0,91.53754115104675,92.3532783985138,91.6995644569397,92.07040667533875
MK,20.0,88.66355419158936,89.60626125335693,89.47721123695374,90.08749723434448
MK,25.0,86.8269681930542,87.64597177505493,87.02908754348755,87.54652142524719
MK,30.0,85.12248396873474,84.35173630714417,81.92906975746155,87.32157349586487
YM,5.0,95.69962620735168,96.09357118606567,96.72038555145264,97.7042019367218
YM,10.0,92.11816191673279,91.65624976158142,93.3905839920044,95.65069675445557
YM,15.0,90.67177772521973,90.01287817955017,92.09990501403809,94.02531385421753
YM,20.0,86.19318008422852,84.87086892127991,87.04010844230652,90.78947305679321
YM,25.0,82.92165398597717,84.71054434776306,83.45533609390259,87.48478889465332
YM,30.0,78.22036147117615,80.23976683616638,80.09708523750305,83.29330086708069
KA,5.0,98.01948666572571,98.04572463035583,98.03264737129211,98.02632927894592
KA,10.0,95.48329710960388,94.98569369316101,96.17927074432373,96.38376235961914
KA,15.0,91.98630452156067,92.17904210090637,92.85902380943298,93.13440918922424
KA,20.0,88.33670616149902,89.65292572975159,90.49087166786194,89.24645781517029
KA,25.0,86.55365705490112,89.28911089897156,90.59033393859863,89.10815119743347
KA,30.0,84.27144289016724,83.45463871955872,85.70157289505005,85.22821068763733
TM,5.0,96.80911302566528,98.00865054130554,98.00286293029785,97.84782528877258
TM,10.0,95.19962668418884,95.81232070922852,95.76380848884583,96.13199234008789
TM,15.0,90.87355732917786,91.28522872924805,94.18320059776306,93.7822163105011
TM,20.0,88.33418488502502,90.21364450454712,91.91840291023254,91.00105166435242
TM,25.0,86.78106665611267,87.764972448349,90.97121953964233,92.08164811134338
TM,30.0,84.79285836219788,85.61685681343079,87.77489066123962,89.95925784111023
NA,5.0,98.05569052696228,97.46446013450623,97.58860468864441,98.02718758583069
NA,10.0,94.98148560523987,94.89906430244446,95.08439898490906,96.40679955482483
NA,15.0,93.78061890602112,92.54446625709534,92.56436228752136,94.76901888847351
NA,20.0,91.93646907806396,89.19015526771545,90.52847027778625,92.24143624305725
NA,25.0,89.26480412483215,87.1709942817688,88.92444968223572,88.98175954818726
NA,30.0,86.41796708106995,87.43993639945984,85.66102385520935,87.46600151062012
KL,5.0,97.45802283287048,97.4633276462555,97.5908100605011,97.72389531135559
KL,10.0,95.56296467781067,95.3672468662262,95.68817019462585,96.66992425918579
KL,15.0,91.82815551757812,90.68844318389893,91.16069078445435,93.35265755653381
KL,20.0,89.65262770652771,89.24099206924438,91.69643521308899,92.0384168624878
KL,25.0,87.35660910606384,85.03429889678955,85.57990789413452,89.50155377388
KL,30.0,84.30355787277222,81.32500648498535,83.68831872940063,84.3201756477356
KM,5.0,96.94827795028687,96.81850671768188,97.5512444972992,98.49367141723633
KM,10.0,94.29453015327454,94.09844279289246,93.77541542053223,95.28800845146179
KM,15.0,90.7863974571228,92.82070994377136,93.22263598442078,95.19269466400146
KM,20.0,86.93876266479492,87.01087832450867,86.40318512916565,91.9792115688324
KM,25.0,83.00111293792725,87.74819374084473,84.41183567047119,87.42595314979553
KM,30.0,84.541916847229,80.68026304244995,81.8002462387085,84.07130241394043
UY,5.0,96.49309515953064,97.67481684684753,97.91253805160522,98.09284806251526
UY,10.0,95.87981700897217,96.79562449455261,96.7231035232544,96.98082208633423
UY,15.0,92.98521876335144,92.68942475318909,93.56037378311157,95.2352225780487
UY,20.0,91.62094593048096,91.3834810256958,93.30139756202698,93.3325469493866
UY,25.0,88.07592988014221,89.60403203964233,88.66307735443115,91.32362008094788
UY,30.0,86.58965826034546,86.64911985397339,88.75475525856018,88.54939341545105
KR,5.0,95.1824426651001,94.19044852256775,95.56553959846497,96.47743105888367
KR,10.0,89.84859585762024,87.69424557685852,91.07882976531982,92.54350066184998
KR,15.0,85.76515913009644,80.71023225784302,89.05203342437744,90.07942080497742
KR,20.0,84.79152321815491,78.84998321533203,83.86030793190002,84.70772504806519
KR,25.0,82.65641927719116,78.07427644729614,82.94057846069336,85.18168330192566
KR,30.0,78.93978953361511,70.68676352500916,70.35494446754456,78.13729047775269
NM,5.0,96.34516835212708,96.41296863555908,97.2104012966156,96.9573438167572
NM,10.0,93.20427775382996,93.1476891040802,94.45497393608093,95.03851532936096
NM,15.0,88.11268210411072,91.3708746433258,93.25724244117737,93.39316487312317
NM,20.0,86.6707980632782,87.0061993598938,86.26288175582886,89.46115374565125
NM,25.0,82.60664343833923,83.99660587310791,83.04068446159363,83.20356011390686
NM,30.0,81.28962516784668,79.32801246643066,83.5881769657135,82.1046531200409
